ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
노원구,1628,노일초등학교 앞,10.0,37.673618,127.055252,서울특별시 노원구 동일로 1652노원구 상계동 1118-9,ST-868
노원구,1630,수연빌딩 앞,10.0,37.67625,127.055504,서울특별시 노원구 동일로 지하 1662노원구 상계동 1132-9,ST-869
노원구,1634,당고개공원 대여소,15.0,37.669079,127.077591,서울특별시 노원구 상계로 283노원구 상계동 65-43,ST-608
노원구,1635,상계34동 주민센터 대여소,11.0,37.67271,127.08316,서울특별시 노원구 덕릉로131길 8노원구 상계동 37-7,ST-609
노원구,1636,백병원 사거리 농협은행 앞,10.0,37.649212,127.061768,서울특별시 노원구 동일로 1351노원구 상계동 747,ST-610
노원구,1637,KT 노원점 건물 앞,15.0,37.654701,127.0634,서울특별시 노원구 노해로 489노원구 상계동 719-1,ST-611
노원구,1639,희성오피앙,10.0,37.680313,127.055069,서울특별시 노원구 동일로 1701노원구 상계동 1263,ST-612
노원구,1640,한내근린공원 북측,10.0,37.623863,127.068489,서울특별시 노원구 마들로 86한내근린공원 북측,ST-971
노원구,1641,한내근린공원 남측,15.0,37.621555,127.069511,서울특별시 노원구 마들로 86한내근린공원 남측,ST-970
노원구,1642,서울여대 남문,7.0,37.625435,127.088493,서울특별시 노원구 화랑로51길 38서울여대 남문,ST-964
노원구,1643,태릉입구역 8번출구,10.0,37.617367,127.075211,서울특별시 노원구 공릉동 687-6태릉입구역 8번출구,ST-1111
노원구,1646,삼육대 입구,20.0,37.638489,127.107903,서울특별시 노원구 공릉동 26-43삼육대 입구,ST-1114
노원구,1650,중계근린공원내,20.0,37.63958,127.065102,서울특별시 노원구 중계동 506-3중계근린공원내,ST-1118
노원구,1651,맥도날드 상계점 앞,20.0,37.672375,127.055992,서울특별시 노원구 상계동 1118-9맥도날드 상계점 앞,ST-1119
노원구,1652,파르코 앞,10.0,37.68,127.05558,서울특별시 노원구 상계동 1263파르코 앞,ST-1120
노원구,1653,노원역1번출구,10.0,37.6562,127.063622,서울특별시 노원구 상계동 335-4노원역1번출구,ST-1121
노원구,1654,당고개입구 오거리,15.0,37.663792,127.075447,서울특별시 노원구 상계동 172-2보훈회관 대여소,ST-1122
노원구,1655,공릉1단지아파트,15.0,37.631111,127.07016,서울특별시 동일로 1127공릉1단지아파트,ST-1123
