번호,대여소,거치대수,주소,위도,경도
1061,천호초교 입구 사거리(일주빌딩),10,서울특별시 강동구 구천면로 304 일주빌딩,37.546928,127.134621
1062,고덕숲 아이파크 2,15,서울특별시 강동구 고덕로80길 134 고덕숲 아이파크,37.551079,127.162621
107,신한은행 서교동금융센터점 앞,5,서울특별시 마포구 월드컵북로 35 449-28,37.557510,126.918503
108,서교동 사거리,10,서울특별시 마포구 양화로 93 427,37.552746,126.918617
109,제일빌딩 앞,10,서울특별시 마포구 어울마당로 26 12-2,37.547691,126.919983
110,사천교,20,서울특별시 서대문구 홍제천로 11 446-92,37.568199,126.917847
1101,개화동상사마을종점 버스정류장,10,서울특별시 강서구 개화동로5길 3-8 강서구 개화동 424-2,37.581612,126.798599
1102,방화사거리 마을버스 버스정류장,10,서울특별시 강서구 양천로17길 6 강서구 방화동 769-23,37.573643,126.811806
1103,방화역 4번출구앞,10,서울특별시 강서구 금낭화로 135 강서구 방화동 829-8,37.577221,126.812195
1105,방화근린공원,10,서울특별시 강서구 금낭화로 176 강서구 방화동 855,37.581623,126.812653
1106,신방화사거리,10,서울특별시 강서구 방화대로 342 신방화 사거리,37.573032,126.816452
1108,공항시장역 1번출구,8,서울특별시 강서구 방화동로 지하 30 강서구 방화동 612-249,37.563560,126.810150
1109,공항시장역 4번출구,6,서울특별시 강서구 방화동로 지하 30 강서구 공항동 산20-2,37.563347,126.810486
111,상수역 2번출구 앞,10,서울특별시 마포구 와우산로 40 309-10,37.547871,126.923531
1110,공항중학교앞,10,서울특별시 강서구 방화대로 241 공항중학교 앞,37.562683,126.816238
1111,마곡엠밸리6_7단지 마곡중학교,15,서울특별시 강서구 마곡중앙5로 58 강서구 마곡동 743-3,37.566982,126.821800
1112,마곡엠밸리4단지 정문,15,서울특별시 강서구 마곡서로 175 강서구 마곡동 754-6,37.568577,126.824776
1113,서남환경공원 버스정류장,15,서울특별시 강서구 양천로 201 강서구 마곡동 222-30,37.573093,126.822899
1114,서남물재생센터 버스정류장,15,서울특별시 강서구 양천로 200 강서구 마곡동 223-6,37.572781,126.826279
1115,등촌역 1번출구옆,10,서울특별시 강서구 공항대로59길 8 강서구 등촌동 666-90,37.551666,126.864090
1117,스타벅스앞,10,서울특별시 강서구 공항대로 329 강서구 등촌동 675-7,37.558197,126.844261
1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),10,서울특별시 강서구 양천로 지하 560 강서구 등촌동 666-40,37.557461,126.861458
1119,염창동 한마음아파트앞(염창동 빛나는 음악학원앞),6,서울특별시 강서구 양천로 637 강서구 염창동 284-18,37.554253,126.867561
112,극동방송국 앞,10,서울특별시 마포구 와우산로 56 89-2,37.549202,126.923203
1120,대림경동아파트앞,10,서울특별시 강서구 허준로 121 강서구 가양동 1475-2,37.565189,126.853996
1121,가양레포츠센터앞,15,서울특별시 강서구 양천로61길 101 강서구 가양동 1484-5,37.559479,126.864380
1122,황금내근린공원,10,서울특별시 강서구 허준로 221-40 강서구 가양동 1485-5,37.561932,126.863869
1124,발산역 6번출구옆(다이소앞),10,서울특별시 강서구 공항대로 280 강서구 내발산동 645-1,37.557968,126.838287
1125,명덕고교입구(영종빌딩),10,서울특별시 강서구 강서로 304 강서구 내발산동 724-42,37.552914,126.836571
1126,우장산역 1번출구옆(우장산아이파크105동앞),7,서울특별시 강서구 강서로 지하 262 강서구 화곡동 1159-6,37.548908,126.836563
1127,화곡역(에이스정형외과앞) 버스정류장,10,서울특별시 강서구 화곡로 157 강서구 화곡동 1089-52,37.540981,126.838547
1128,화곡역 6번출구,10,서울특별시 강서구 화곡로 지하 168 화곡역 6번출구,37.541412,126.840225
1129,화곡역 1번 출구 앞,7,서울특별시 강서구 화곡로 지하 168 강서구 화곡동 1089-43,37.542099,126.840218
113,홍대입구역 2번출구 앞,25,서울특별시 마포구 양화로 165 156-8,37.557499,126.923805
1130,화곡본동시장 버스정류장,7,서울특별시 강서구 화곡로 196 강서구 화곡동 109-12,37.542751,126.842621
1131,꿈돌이공원 앞,8,서울특별시 강서구 화곡로 232 강서구 화곡동 94-6,37.546444,126.845459
1132,등촌역 7번출구,10,서울특별시 강서구 공항대로 지하 529 강서구 등촌동 505-3,37.551109,126.863708
1135,강서구의회,10,서울특별시 강서구 등촌로 185 강서구 등촌동 608-4,37.546532,126.862549
1136,등촌2파출소,10,서울특별시 강서구 등촌로 167 강서구 등촌동 608-6,37.544788,126.862000
1137,등촌2동주민센터,10,서울특별시 강서구 등촌로 143 강서구 등촌동 577,37.541431,126.863220
1139,용문사 버스정류장,8,서울특별시 강서구 등촌로 95 강서구 등촌동 579,37.536991,126.863365
114,홍대입구역 8번출구 앞,15,서울특별시 마포구 양화로18길 3 192-5,37.557060,126.924423
1140,목동사거리 버스정류장,15,서울특별시 강서구 등촌로 19 강서구 화곡동 939-3,37.531399,126.863609
1141,곰달래 문화복지센터 1-1,10,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.529060,126.848480
1145,곰달래 문화복지센터 1-2,10,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.528919,126.848083
1146,곰달래사거리,10,서울특별시 강서구 곰달래로 51 355-48,37.530338,126.838257
1148,볏골공원,10,서울특별시 강서구 까치산로4길 22 강서구 화곡동 98-148,37.541470,126.844780
1149,신방화역환승주차장,13,서울특별시 강서구 마곡서1로 111-12 신방화역환승주차장,37.567284,126.818275
115,사루비아 빌딩 앞,15,서울특별시 서대문구 연희로 6 516,37.558933,126.927116
1150,송정역 1번출구,10,서울특별시 강서구 공항대로3길 18 송정역 1번출구,37.561550,126.810478
1151,마곡역1번출구,25,서울특별시 강서구 마곡동 727-716 마곡역2번출구,37.560234,126.823471
1152,마곡역교차로,10,서울특별시 강서구 마곡동 728-168 마곡역7번출구,37.558666,126.826614
1153,"발산역 1번, 9번 인근 대여소",10,서울특별시 강서구 공항대로 281 발산역 4번출구,37.558891,126.837219
1155,기쁜우리복지관,10,서울특별시 강서구 가양동 1458-15  기쁜우리복지관,37.569260,126.848419
1157,강서구청,8,서울특별시 강서구 화곡로 302 강서구청,37.550659,126.849770
1158,가양역 8번출구,20,서울특별시 강서구 양천로 지하 485 가양역 8번출구,37.561035,126.854813
1159,서서울모터리움앞,20,서울특별시 강서구 양천로53길 30 서서울모터리움앞,37.565853,126.846596
116,일진아이윌아파트 옆,5,서울특별시 서대문구 동교로 290 일진아이윌아파트 옆,37.564541,126.927071
1160,양천향교역 7번출구앞,20,서울특별시 강서구 양천로 지하 341 양천향교역 7번출구 앞,37.567680,126.840897
1161,강서면허시험장앞,10,서울특별시 강서구 남부순환로 171 강서면허시험장앞,37.549694,126.819664
1162,공항초등학교건너편,10,서울특별시 강서구 마곡서1로 68 공항초등학교건너편,37.562679,126.820473
1163,방화동강서기동대앞,10,서울특별시 강서구 방화대로34길 65 방화동 강서기동대앞,37.570499,126.820084
1165,마곡중학교 후문,20,서울특별시 강서구 마곡중앙5로 58 마곡중학교 후문,37.568447,126.821648
1166,강서구립등빛도서관,10,서울특별시 강서구 강서로62길 48 강서구립등빛도서관,37.562569,126.842461
1167,마곡수명산파크3단지 교차로,15,서울특별시 강서구 수명로 72 마곡수명산파크3단지 교차로,37.553467,126.825928
1168,마곡엠밸리10단지 앞,10,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지 앞,37.560226,126.819069
1169,염창역 1번 출구,8,서울특별시 강서구 공항대로 625 염창역 1번 출구,37.547199,126.874489
117,홍은사거리,25,서울특별시 서대문구 통일로 483 홍은사거리 앞,37.591160,126.941330
1170,강서구보건소 (삼성디지털 프라자),11,서울특별시 강서구 공항대로 571 강서구보건소 (삼성디지털 프라자),37.549179,126.868797
1171,염창동 새마을금고 건너편 (모닝글로리),8,서울특별시 강서구 양천로 696 염창동 새마을금고 건너편 (모닝글로리),37.550049,126.873161
1172,가양3동 주민센터,8,서울특별시 강서구 허준로 202 가양3동 주민센터,37.561249,126.860580
1173,강서구청사거리(SH타워),15,서울특별시 강서구 공항대로 411 강서구청사거리(SH타워),37.556259,126.853317
1174,강서구청사거리(부민병원),9,서울특별시 강서구 공항대로 395 강서구청사거리(부민병원),37.556599,126.851471
1175,대한항공 인력개발센터,15,서울특별시 강서구 공항대로 453 대한항공 인력개발센터,37.554379,126.857536
1177,수명중․고교,10,서울특별시 강서구 수명로1길 16 마곡수명산파크4단지아파트 401동 앞,37.550110,126.823677
1178,개화산역 2번 출구,10,서울특별시 강서구 양천로 22 개화산역 2번 출구,37.572472,126.806168
118,광흥창역 2번출구 앞,10,서울특별시 마포구 독막로 지하165 243-3,37.547733,126.931763
1180,마곡엠밸리 15단지(1502동) 건너편,15,서울특별시 강서구 마곡중앙로 36 마곡엠밸리 15단지(1502동) 건너편,37.557468,126.829720
1181,농수산식품공사 (강서지사),10,서울특별시 강서구 발산로 40 농산식품공사 (강서지사),37.551044,126.818497
1182,KBS 스포츠월드,20,서울특별시 강서구 공항대로 376 KBS 스포츠월드,37.556877,126.848808
1183,KC 대학교,10,서울특별시 강서구 까치산로24길 47 KC 대학교,37.548321,126.853401
1184,마곡13단지,15,서울특별시 강서구 방화대로7길 6 마곡13단지,37.556450,126.815979
1185,등촌9단지,10,서울특별시 강서구 화곡로63가길 92 등촌9단지,37.562901,126.849472
1186,송정중학교,10,서울특별시 강서구 방화대로5길 7 송정중학교,37.554729,126.816093
1187,강서수산물도매시장,15,서울특별시 강서구 발산로 24 강서수산물도매시장,37.553020,126.818367
1188,롯데중앙연구소,8,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,37.571381,126.828339
119,서강나루 공원,10,서울특별시 마포구 창전로 30 서강나루공원,37.545284,126.931053
1190,마곡역 교차로(2번출구),10,서울특별시 강서구 공항대로 지하 163 마곡역 교차로(2번출구),37.560501,126.826653
1191,마곡역 교차로(NH농협),9,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역,37.560242,126.827164
1192,마곡수명산파크 209동 건너편,10,서울특별시 강서구 마곡중앙로 36 마곡수명산파크 2단지 209동 건너편,37.555538,126.826759
1193,마곡센트럴타워 1차,15,서울특별시 강서구 공항대로 227 마곡센트럴타워 1차,37.559471,126.832077
1194,센서텍㈜,10,서울특별시 강서구 마곡중앙8로3길 21 케이티엔에프빌딩 인근,37.563301,126.836823
