CONTENT_ID,CONTENT_NM,CRADLE_COUNT,ADDRESS,LATITUDE,LONGITUDE,ADDR_GU
1001,광진교 남단 사거리(디지털프라자앞),15,서울특별시 강동구 구천면로 171 376 남단사거리,37.541805,127.12471799999999,강동구
1002,해공공원(천호동),10,서울특별시 강동구 올림픽로 702 265,37.545219,127.12591599999999,강동구
1003,해공도서관앞,20,서울특별시 강동구 올림픽로 702 367,37.543915000000005,127.12545800000001,강동구
1004,삼성광나루아파트 버스정류장,10,서울특별시 강동구 상암로3길 77 암사동 534,37.553349,127.12886,강동구
1006,롯데캐슬 115동앞,15,서울특별시 강동구 양재대로 1665 명일동 304,37.55492,127.142799,강동구
1007,암사동 선사유적지,16,서울특별시 강동구 올림픽로 875 암사동 139-2,37.559517,127.130844,강동구
1008,암사역 3번출구(국민은행앞),10,서울특별시 강동구 올림픽로 지하 776 암사동 555,37.549549,127.127151,강동구
1009,천호역4번출구(현대백화점),20,서울특별시 강동구 천호대로 지하 997 성내동 62-1,37.538658,127.124214,강동구
101,(구)합정동 주민센터,5,서울특별시 마포구 동교로8길 58 444-12,37.549561,126.905754,마포구
1010,강동세무서,20,서울특별시 강동구 천호대로 1139 길동 467,37.534481,127.13834399999999,강동구
1011,LIGA 아파트 앞,20,서울특별시 강동구 천호대로 1120 성내동 450-31,37.534771,127.13523899999998,강동구
1012,서울 상운차량,15,서울특별시 강동구 올림픽로 610 성내동 93-34,37.536026,127.122726,강동구
1013,강동구청역 1번 출입구,15,서울특별시 강동구 올림픽로 지하 550 1번 출입구,37.530772999999996,127.120926,강동구
1014,강동구평생학습관앞,15,서울특별시 강동구 고덕로 295 명일동 320-2,37.5508,127.142624,강동구
1015,샛마을 근린공원,13,서울특별시 강동구 구천면로 431-2 샛마을 근린공원,37.550079,127.14691200000001,강동구
1016,해뜨는 주유소옆 리엔파크 109동앞,10,서울특별시 강동구 상일로 152 강일동 607-14,37.559399,127.171158,강동구
1017,맥도날드(길동),20,서울특별시 강동구 천호대로 1207 맥도날드(길동),37.535472999999996,127.145172,강동구
1018,둔촌 주공 GS 맞은편,20,서울특별시 강동구 양재대로 1330 둔촌동 541-6,37.524681,127.135406,강동구
1019,다성이즈빌아파트(호원대 대각선 맞은편),10,서울특별시 강동구 성내로 91 다성이즈빌아파트(호원대 대각선 맞은편),37.526825,127.130028,강동구
102,망원역 1번출구 앞,20,서울특별시 마포구 월드컵로 72 475-54,37.555649,126.910629,마포구
1020,강동경찰서,15,서울특별시 강동구 성내로 57 강동경찰서,37.528290000000005,127.126801,강동구
1021,강일동 리슈빌 빌딩앞,15,서울특별시 강동구 아리수로 419 강일동 306-7,37.564301,127.17395,강동구
1022,길동 사거리(초소앞),20,서울특별시 강동구 양재대로 1441 성내동 379-41,37.533764,127.13803100000001,강동구
1023,한국종합기술사옥 앞,15,서울특별시 강동구 상일동 504  상일동 삼성엔지니어링 앞,37.549999,127.17468999999998,강동구
1024,강동구청 앞,10,서울특별시 성내동 546-3  강동구청 앞,37.529251,127.123108,강동구
1025,상일초등학교,10,서울특별시  상일동 440-3 상일초등학교,37.546841,127.17251599999999,강동구
1026,대명초교 입구 교차로,14,서울특별시 명일동 59 대명초교 입구 교차로,37.546631,127.15588400000001,강동구
1027,프라자 아파트 앞,20,서울특별시 길동 176-3 프라자 아파트 앞,37.535999,127.147697,강동구
1028,포레스 주상복합 빌딩,10,서울특별시 성내동 119-2 포레스 주상복합 빌딩,37.5331,127.12278,강동구
1029,롯데 시네마,10,서울특별시 성내동  44-1 롯데 시네마,37.536541,127.12539699999999,강동구
103,망원역 2번출구 앞,14,서울특별시 마포구 월드컵로 79 378-18,37.554951,126.910835,마포구
1030,미호 플랜트 앞,15,서울특별시 성내동 478 미호 플랜트 앞,37.527060999999996,127.12207,강동구
1031,암사동 CBIS,15,서울특별시 암사동 440-13 암사동 CBIS,37.555851000000004,127.129898,강동구
1032,선사고등학교,20,서울특별시 암사동 445 선사고등학교,37.556728,127.13620800000001,강동구
1033,고덕동 아남아파트,10,서울특별시 고덕동 673 고덕동 아남아파트,37.557990999999994,127.14470700000001,강동구
1034,고덕동 래미안 힐스테이트,15,서울특별시 고덕동 603 고덕동 래미안 힐스테이트,37.561909,127.150749,강동구
1035,고덕역 4번출구,20,서울특별시 명일동 46-5 고덕역 4번출구,37.555015999999995,127.155273,강동구
1036,고덕동 주양쇼핑,10,서울특별시 명일동 48-2 고덕동 주양쇼핑,37.551998,127.153297,강동구
1037,강일 6단지,10,서울특별시 강일동 448-2 강일 6단지,37.562588,127.17761200000001,강동구
1038,강일 다솜 어린이 공원,10,서울특별시 강일동 333-2 강일 다솜 어린이 공원,37.568668,127.174797,강동구
1039,고덕초등학교,7,서울특별시 고덕동 215 고덕초등학교,37.561279,127.167801,강동구
104,합정역 1번출구 앞,13,서울특별시 마포구 양화로 59 393-7,37.550629,126.91498600000001,마포구
1041,묘곡초등학교,10,서울특별시 고덕동 499-2 묘곡초등학교,37.559196,127.153297,강동구
1042,5단지 사이,10,서울특별시 강일동 63-20 강일 2.5단지 사이,37.568562,127.177002,강동구
1044,굽은다리역,15,서울특별시  양재대로 1572 굽은다리역,37.545398999999996,127.142601,강동구
1047,건강보험 강동지사kt,10,서울특별시 강동구 천호대로175길 39 건강보험 강동지사kt,37.536381,127.137253,강동구
1048,동부기업(둔촌동),10,서울특별시 강동구 진황도로 172 동부기업,37.531013,127.14236499999998,강동구
